"duplicate_id","author","year","journal","doi","title","abstract","label","source","pages","volume","number","isbn","record_ids"
"sr2_nk_505","Sisay A.","2022","PLoS ONE","10.1371/journal.pone.0268160","Evaluating diagnostic accuracies of Panbio™ test and RT-PCR for the detection of SARSCoV-2 in Addis Ababa, Ethiopia using Bayesian Latent-Class Models (BLCM)","Background Rapid diagnostics are vital for curving the transmission and control of the COVID-19 pandemic. Although many commercially available antigen-based rapid diagnostic tests (Ag-RDTs) for the detection of SARS-CoV-2 are recommended by the WHO, their diagnostic performance has not yet been assessed in Ethiopia. So far, the vast majority of studies assessing diagnostic accuracies of rapid antigen tests considered RT-PCR as a reference standard, which inevitably leads to bias when RT-PCR is not 100% sensitive and specific. Thus, this study aimed to evaluate the diagnostic performance of Panbio™ jointly with the RT-PCR for the detection of SARS-CoV-2. Methods A prospective cross-sectional study was done from July to September 2021 in Addis Ababa, Ethiopia, during the third wave of the pandemic involving two health centers and two hospitals. Diagnostic sensitivity and specificity of Panbio™ and RT-PCR were obtained using Bayesian Latent-Class Models (BLCM). Results 438 COVID-19 presumptive clients were enrolled, 239 (54.6%) were females, of whom 196 (44.7%) had a positive RT-PCR and 158 (36.1%) were Panbio™ positive. The Panbio™ and RT-PCR had a sensitivity (95% CrI) of 99.6 (98.4–100) %, 89.3 (83.2–97.6) % and specificity (95% CrI) of 93.4 (82.3–100) %, and 99.1 (97.5–100) %, respectively. Most of the study participants, 318 (72.6%) exhibited COVID-19 symptoms; the most reported was cough 191 (43.6%). Conclusion As expected the RT-PCR performed very well with a near-perfect specificity and a high, but not perfect sensitivity. The diagnostic performance of Panbio™ is coherent with the WHO established criteria of having a sensitivity 80% for Ag-RDTs. Both tests displayed high diagnostic accuracies in patients with and without symptoms. Hence, we recommend the use of the Panbio™ for both symptomatic and asymptomatic individuals in clinical settings for screening purposes. © 2022 Elsevier B.V., All rights reserved.","nk_robot_include,nk_robot_include","nk,nk",NA,NA,NA,NA,"sr2_nk_505, sr2_nk_785"
"sr2_nk_620",NA,"2021","clinicaltrials.gov",NA,"Open Label, Single-Center Study Utilizing BIOZEK COVID-19 Antigen Rapid Test: Comparison of Biozek COVID-19 Antigen Rapid Test Results Performed on Self-collected Samples by the Subjects, to Results of COVID-19 RT-PCR as a Standard of Care A1  - Anonymous.","Brief Summary, This is a research study to evaluate the Sensitivity and Specificity of BIOZEK COVID-19 Antigen Rapid Test (Saliva) and BIOZEK COVID-19 Antigen Rapid Test (Nasopharyngeal Swab) on samples that are self-collected; and to perform analysis to compare results. In addition, to obtain RT-PCR test results, performed prior to enrollment, and compare all three results.Copyright © 2025 clinicaltrials.gov","nk_robot_include,nk_robot_include","nk,nk",NA,NA,NA,NA,"sr2_nk_620, sr2_nk_622"
"sr2_nk_749",NA,"2022","The new microbiologica",NA,"Construction of SHERLOCK-based sgRNA for SARS-CoV-2 Diagnostics from Indonesia A1  - Anonymous.","Handling a pandemic requires high sensitivity, high specificity, simple, fast, and flexible tests. How- ever, conventional test methods (RT-PCR and Rapid Antigen) have weaknesses in test efficiency. Specific High sensitivity Enzymatic Reporter un-LOCKing (SHERLOCK), is a new technology that can detect nucleic acids even with limited sample preparation, but with high sensitivity, high spec- ificity, rapidly, and flexibly. The key to the specificity of the SHERLOCK diagnostic method is the single guide RNA (sgRNA). The purpose of this study was to analyze the design of the SHERLOCK sgRNA, which has optimum potential to be used as a Cas13a marker to recognize the spike protein gene of the Receptor Binding Domain of the SARS-CoV-2 strain from Indonesia. The method used was an in-silico approach using genomic and proteomic data and molecular docking. This study used a sample of 37 genomic data representing 86 types of SARS-CoV-2 spike protein mutations in Indonesia. Based on the docking candidate results, sgRNA8 has the lowest energy to bind to the viral protospacer target SARS-CoV-2 and a high melting point value at 70.3degreeC, indicating that the sgRNA8 chain is the optimal candidate for sgRNA.","nk_robot_exclude,nk_robot_include","nk,nk",NA,NA,NA,NA,"sr2_nk_749, sr2_nk_529"
"sr2_nk_927","Bonelli F.","2021","Clinical Chemistry and Laboratory Medicine","10.1515/cclm-2021-0023","Evaluation of the automated LIAISONSARS-CoV-2 TrimericS IgG assay for the detection of circulating antibodies","COVID-19 has brought about tests from many manufacturers. While molecular and rapid antigen tests are targeted for early diagnosis, immunoassays have a larger role in epidemiological studies, understanding longitudinal immunity, and in vaccine development and response. The performance of the LIAISON SARS-CoV-2 TrimericS IgG assay was evaluated against the Beckman ACCESS SARS-CoV-2 IgG assay in New Mexico, and against the Siemens ADVIA Centaur COV2G assay in New York. Discordant samples were parsed using a microneutralization assay. A SARS-CoV-2 antibody positivity rate of 23.8% was observed in the samples tested in New York (September 2020), while in the same month the positivity rate was 1.5% in New Mexico. Positive and negative agreement were 67.6% (95% CI 49.5-82.6%) and 99.8% (95% CI 99.5-99.9%), respectively, with the Beckman test, and 98.0% (95% CI 95.7-99.3%) and 94.8% (95% CI 93.4-96.0%), respectively, with the Siemens test. Receiver operating characteristic analysis for the detection of SARS-CoV-2 antibodies discloses an AUC, area under the curve, of 0.996 (95% CI 0.992-0.999) for the LIAISON SARS-CoV-2 TrimericS IgG assay. The criterion associated to the Youden Index was determined to be >12.9 kAU/L with a sensitivity of 99.44% and a specificity of 99.82%. The LIAISON SARS-CoV-2 TrimericS IgG assay is highly sensitive and specific. The balance of these parameters, without emphasis on high specificity alone, is particularly important when applied to high prevalence populations, where a highly sensitive assay will result in reporting a lower number of false negative subjects.Copyright © 2021 2021 Fabrizio Bonelli et al., published by De Gruyter, Berlin/Boston.","nk_robot_exclude,nk_robot_exclude","nk,nk",NA,NA,NA,NA,"sr2_nk_927, sr2_nk_149"
