"Evaluation","Population","Intervention","Comparison","Outcome","Method","Result","Overall"
"SR1_Elicit","60 (10)","55.56 (9)","66.67 (9)","100 (6)","NA (NA)","NA (NA)","70.56 (34)"
"SR1_NK","53.33 (15)","33.33 (15)","66.67 (15)","33.33 (15)","NA (NA)","NA (NA)","46.66 (60)"
"SR2_Elicit","NA (NA)","85.47 (117)","60.34 (58)","68.87 (212)","NA (NA)","NA (NA)","71.56 (387)"
"SR2_NK","NA (NA)","85.85 (212)","NA (NA)","64.61 (469)","NA (NA)","NA (NA)","75.23 (681)"
"SR3_Elicit","50 (6)","66.67 (3)","100 (3)","66.67 (3)","50 (26)","57.14 (7)","65.08 (48)"
"SR3_NK","41.67 (24)","91.67 (12)","33.33 (12)","83.33 (12)","26.51 (83)","47.06 (17)","53.93 (160)"
