"Title","Authors","Year","Doi","PublicationName","CustomId","Abstract","AlternateName","Url","AuthorAddress","ReferenceType","Keywords","PdfRelativePath"
"Implementation and evaluation of a navigation program for people with cancer in old age and their family caregivers: study protocol for the EU NAVIGATE International Pragmatic Randomized Controlled Trial","T. Smets, L. Pivodic, Rose Miranda, F. Van Campe, C. Vinckier, Barb Pesut, Wendy Duggleby, Andrew N Davies, A. Lavan, P. May, Barbara Gomes, Maja Furlan de Brito, V. Rodrigues, K. Szczerbińska, V. Kijowska, I. Barańska, Stefanie De Buyser, Davide Ferraris, S. Alfieri, B. Scacciati, H. Du Cheyne, K. Chambaere, J. Gilissen, A. V. D. van der Plas, R. Pasman, B. Onwuteaka-Philipsen, L. Van den Block","2024","10.1186/s13063-024-08633-5","Trials","sr3_elicit_244","Cancer navigation programs aim to support, educate, and empower patients and families, addressing barriers to diagnostics, treatment, and care. Navigators engage with people to ensure timely access to services and resources. While promising for older people with cancer, these programs are scarce in Europe, and research on their effectiveness and implementation is limited. We describe the protocol of the EU NAVIGATE randomized controlled trial, aimed to evaluate (1) effectiveness and cost-effectiveness of NavCare-EU, an intervention that aims to support older people with cancer throughout their illness trajectory, spanning the continuum of supportive, palliative, and end-of-life care, and (2) the intervention's implementation processes and feasibility of its integration into different health care systems in Europe, contextual barriers and facilitators for effective and sustainable implementation, and mechanisms involved in reaching the outcomes. We will conduct a multisite pragmatic fast-track randomized controlled trial with embedded convergent mixed-method process evaluation in Belgium, Ireland, Italy, Netherlands, Poland, and Portugal. The study targets people with cancer and declining health, 70 years or older, and their close family caregivers. The trial compares the NavCare-EU intervention plus standard care with standard care alone. We will perform a baseline measurement prior to randomization and follow-up measurements at 12 weeks, 24 weeks, and 48 weeks in intervention and control group, and an additional measurement at 72 weeks in the control group. Primary outcomes, measured at 24 weeks are (1) the older person's global health status/quality of life, a 2-item subscale from EORTC-QLQ-C30 (revised) measuring health-related quality of life, (2) level of social support measured with Medical Outcomes Study Social Support Survey (MOS-SSS scale). The study will include at least 246 older persons with completed global health status/quality of life at 24 weeks. The EU NAVIGATE trial will cross-nationally test the effectiveness and cost-effectiveness of a navigation intervention for older people with cancer and their family caregivers, and its implementation in different health care systems in Europe. As continuity and access to health, social, and community care is a priority for patients and caregivers, the trial is timely and critically needed. Clinicaltrials.gov: identifier NCT06110312 (2023/10/31).","","10.1186/s13063-024-08633-5","","","",""
"Effects of a Standardized Community Health Worker Intervention on Health Care Utilization Within an Integrated Delivery System.","Aditi Vasan, Molly Knowles, Shaun Flerchinger, Thomas K Tandy, David Mosen, Jessica Soltesz, Olivia Paradis, Nicole Friedman, Judith A Long, B. Ertz-Berger, S. Kangovi","2025","10.1007/s11606-025-09495-6","Journal of general internal medicine","sr3_elicit_303","BACKGROUND
Community health worker (CHW) interventions can improve health outcomes and reduce acute care utilization. Few prior studies have examined the association of CHW interventions with health care utilization among patients within an integrated health system.
OBJECTIVE
To evaluate the effects of Individualized Management for Patient Centered Targets (IMPaCT), a standardized CHW intervention originally developed within a single health system in Philadelphia, PA, on acute care utilization and primary care engagement among low-income patients at two clinics within an integrated health system in Portland, Oregon.
DESIGN
Prospective randomized analysis using adjusted difference-in-differences regression.
PARTICIPANTS
In total, 1230 adults living in low-income zip codes were randomized using a 2:1 allocation sequence to receive either IMPaCT (n = 820) or usual care (n = 410).
INTERVENTIONS
IMPaCT is a standardized intervention in which CHWs use an in-depth interview to understand patients' strengths, social needs, and health-related goals and then collaboratively develop tailored action plans. Over 3 months, CHWs communicated with patients at least once weekly to provide coaching, social support, and navigation tailored to their goals. Due to the COVID- 19 pandemic, the intervention was predominantly delivered remotely.
MAIN MEASURES
Primary outcome measures were hospital and emergency department (ED) utilization, both measured per 1000 members per month, and proportion of patients with 1+ primary care visits. Implementation fidelity and maintenance were also assessed.
KEY RESULTS
Compared to usual care, patients who received IMPaCT had a relative reduction in total hospital days at 6 months (- 172.3 days per 1000 members per month, 95% CI - 320.05 to - 24.53, p= 0.022), and a greater proportion attended 1+ primary care visits (85.7% vs. 79.5%, p= 0.006). There were no differences in ED utilization.
CONCLUSIONS
A standardized CHW intervention delivered remotely within an integrated health system during the COVID- 19 pandemic was associated with decreased hospital utilization and improved primary care engagement.
© 2025. The Author(s).","","10.1007/s11606-025-09495-6","","","",""
"Effectiveness of comprehensive geriatric assessment adapted to primary care when provided by a nurse or a general practitioner: the CEpiA cluster-randomised trial","Véronique Orcel, Leon Banh, Sylvie Bastuji-Garin, Vincent Renard, Emmanuelle Boutin, Amel Gouja, P. Caillet, Elena Paillaud, Etienne Audureau, Emilie Ferrat","2024","10.1186/s12916-024-03613-7","BMC Medicine","sr3_elicit_423","BACKGROUND
The benefits of comprehensive geriatric assessment (CGA) are well established for hospital care but less so for primary care. Our primary objective was to assess the effect of two multifaceted interventions based on a CGA adapted for primary care on a composite criterion combining all-cause mortality, emergency department visits, unplanned hospital admissions, and institutionalisation.
METHODS
This open-label, pragmatic, three-arm, cluster-randomised controlled trial involved 39 general practices in France. It included 634 patients aged 70 years or over with chronic health conditions and/or an unplanned hospital admission in the past 3 months, between 05/2016 and 08/2018. Interventions were in arm 1: a systematic nurse-led CGA; arm 2: a GP-led CGA, at the GP's discretion; arm 3: standard care. The primary composite endpoint was assessed at 12 months. The secondary endpoints included: components of the composite endpoint, health-related quality of life (Duke Health Profile), functional status (Katz Activities of Daily Living Index) and medications (number) at 12 months. Pairwise comparisons between the experimental groups and the control were tested. The main analysis was performed on the intention-to-treat (ITT) population, after imputing missing information and adjusting for baseline imbalances by mixed effects regressions.
RESULTS
For the primary composite outcome, no statistically significant difference was found between arm 1 and the control (adjusted odds ratio [aOR] = 0.81 [95%CI 0.54-1.21], P = 0.31), whereas arm 2 and the control differed significantly (aOR = 0.60 [0.39-0.93], P = 0.022). A statistically lower risk of unplanned hospital admission in arm 2 vs control (aOR = 0.57 [0.36-0.92], P = 0.020)) was observed, while no statistically significant differences were found for the other components and between arm 1 and the control. None of the other secondary endpoints differed between arms.
CONCLUSIONS
Our study led in community-dwelling older patients with chronic conditions found no significant effect of a CGA adapted for primary care on mortality, functional independence and quality of life, but suggests that a GP-led CGA may reduce the risk of unplanned hospital admission. Our study demonstrates the feasibility of incorporating CGA into clinical practice and highlights its potential benefits when applied on a case-by-case basis, guided by the GPs who develop the resulting PCP.
TRIAL REGISTRATION
NCT02664454.
© 2024. The Author(s).","","10.1186/s12916-024-03613-7","","","",""
"A nurse-led comprehensive geriatric assessment intervention in primary care: A feasibility cluster randomized controlled trial.","Helen Lyndon, J. Latour, Jonathan Marsden, B. Kent","2023","10.1111/jan.15652","Journal of Advanced Nursing","sr3_elicit_455","AIM
To determine the feasibility of a nurse-led, primary care-based comprehensive geriatric assessment (CGA) intervention.
DESIGN
A feasibility cluster randomized controlled trial.
METHODS
The trial was conducted in six general practices in the United Kingdom from May 2018 to April 2020. Participants were moderately/severely frail people aged 65 years and older living at home. Clusters were randomly assigned to the intervention arm control arms. A CGA was delivered to the intervention participants, with control participants receiving usual care. Study outcomes related to feasibility of the intervention and of conducting the trial including recruitment and retention. A range of outcome measures of quality of life, function, loneliness, self-determination, mortality, hospital admission/readmission and number of prescribed medications were evaluated.
RESULTS
All pre-specified feasibility criteria relating to recruitment and retention were met with 56 participants recruited in total (30 intervention and 26 control). Retention was high with 94.6% of participants completing 13-week follow-up and 87.5% (n = 49) completing 26-week follow-up. All outcome measures instruments met feasibility criteria relating to completeness and responsiveness over time. Quality of life was recommended as the primary outcome for a definitive trial with numbers of prescribed medications as a secondary outcome measure.
CONCLUSION
It is feasible to implement and conduct a randomized controlled trial of a nurse-led, primary care-based CGA intervention.
IMPACT
The study provided evidence on the feasibility of a CGA intervention for older people delivered in primary care. It provides information to maximize the success of a definitive trial of the clinical effectiveness of the intervention.
PATIENT OR PUBLIC CONTRIBUTION
Patient and public representatives were involved in the study design including intervention development and production of participant-facing documentation. Representatives served on the trial management and steering committees and, as part of this role, interpreted feasibility data. ISRCTN Number: 74345449.","","10.1111/jan.15652","","","",""
"OPTimising MEDicine information handover after Discharge (OPTMED-D): protocol for development of a multifaceted intervention and stepped wedge cluster randomised controlled trial","Laetitia Hattingh, Melissa T. Baysari, Holly Foot, T. F. Sim, G. Keijzers, Mark Morgan, Ian Scott, R. Norman, Faith R. Yong, Barbara Mullan, Claire Jackson, Leslie E. Oldfield, Elizabeth Manias","2024","10.1186/s13063-024-08496-w","Trials","sr3_elicit_53","BACKGROUND
General practitioners (GP) and community pharmacists need information about hospital discharge patients' medicines to continue their management in the community. This necessitates effective communication, collaboration, and reliable information-sharing. However, such handover is inconsistent, and whilst digital systems are in place to transfer information at transitions of care, these systems are passive and clinicians are not prompted about patients' transitions. There are also gaps in communication between community pharmacists and GPs. These issues impact patient safety, leading to hospital readmissions and increased healthcare costs.
METHODS
A three-phased, multi-method study design is planned to trial a multifaceted intervention to reduce 30-day hospital readmissions. Phase 1 is the co-design of the intervention with stakeholders and end-users; phase 2 is the development of the intervention; phase 3 is a stepped wedge cluster randomised controlled trial with 20 clusters (community pharmacies). Expected intervention components will be a hospital pharmacist navigator, primary care medication management review services, and a digital solution for information sharing. Phase 3 will recruit 10 patients per pharmacy cluster/month to achieve a sample size of 2200 patients powered to detect a 5% absolute reduction in unplanned readmissions from 10% in the control group to 5% in the intervention at 30 days. The randomisation and intervention will occur at the level of the patient's nominated community pharmacy. Primary analysis will be a comparison of 30-day medication-related hospital readmissions between intervention and control clusters using a mixed effects Poisson regression model with a random effect for cluster (pharmacy) and a fixed effect for each step to account for secular trends.
TRIAL REGISTRATION
This trial is registered with the Australian New Zealand Clinical Trials Registry: ACTRN12624000480583p , registered 19 April 2024.
© 2024. Crown.","","10.1186/s13063-024-08496-w","","","",""
