"Evaluation","Population","Intervention","Comparison","Outcome","Method","Result"
"SR1_Elicit","80% (0%)","55.6% (20%)","66.7% (0%)","100% (33.3%)","NA% (NA%)","NA% (NA%)"
"SR1_NK","26.7% (75%)","66.7% (10%)","20% (66.7%)","66.7% (50%)","NA% (NA%)","NA% (NA%)"
"SR2_Elicit","NA% (NA%)","6% (0%)","1.7% (0%)","15.1% (43.8%)","NA% (NA%)","NA% (NA%)"
"SR2_NK","NA% (NA%)","14.2% (86.7%)","NA% (NA%)","9% (38.1%)","NA% (NA%)","NA% (NA%)"
"SR3_Elicit","50% (100%)","66.7% (100%)","NA% (0%)","66.7% (100%)","34.6% (44.4%)","28.6% (100%)"
"SR3_NK","12.5% (66.7%)","16.7% (0%)","16.7% (0%)","58.3% (85.7%)","6% (60%)","5.9% (100%)"
