"Evaluation","Population","Intervention","Comparison","Outcome","Method","Result","Overall"
"SR1_Elicit","60% (10)","55.6% (9)","66.7% (9)","100% (6)","NA% (NA)","NA% (NA)","70.6% (34)"
"SR1_NK","53.3% (15)","33.3% (15)","66.7% (15)","33.3% (15)","NA% (NA)","NA% (NA)","46.6% (60)"
"SR2_Elicit","NA% (NA)","85.5% (117)","60.3% (58)","68.9% (212)","NA% (NA)","NA% (NA)","71.6% (387)"
"SR2_NK","NA% (NA)","85.8% (212)","NA% (NA)","64.6% (469)","NA% (NA)","NA% (NA)","75.2% (681)"
"SR3_Elicit","50% (6)","66.7% (3)","100% (3)","66.7% (3)","50% (26)","57.1% (7)","65.1% (48)"
"SR3_NK","41.7% (24)","91.7% (12)","33.3% (12)","83.3% (12)","26.5% (83)","47.1% (17)","53.9% (160)"
