"Evaluation","Population","Intervention","Comparison","Outcome","Method","Result"
"SR1_Elicit","66.7% (6)","33.3% (6)","66.7% (6)","100% (6)","NA% (NA)","NA% (NA)"
"SR1_NK","53.3% (15)","33.3% (15)","66.7% (15)","33.3% (15)","NA% (NA)","NA% (NA)"
"SR2_Elicit","NA% (NA)","74.6% (59)","60.3% (58)","50.8% (59)","NA% (NA)","NA% (NA)"
"SR2_NK","NA% (NA)","83.8% (105)","NA% (NA)","54.8% (104)","NA% (NA)","NA% (NA)"
"SR3_Elicit","0% (3)","66.7% (3)","100% (3)","66.7% (3)","0% (3)","0% (2)"
"SR3_NK","8.3% (12)","91.7% (12)","33.3% (12)","83.3% (12)","0% (12)","20% (5)"
