"Item.type","Authors","Title","Journal","Full.journal","Publication.year","Volume","Issue","Pages","Date.published","URLs","DOI","label","source","record_id","isbn"
"Journal Article","Yu DS-F,Lee DT,Stewart S,Thompson DR,Choi KC,Yu CM","The effects of a nurse-led empowerment-based disease management program on clinical outcomes, self-care and health-related quality of life among Chinese patients with heart failure","European Journal of Heart Failure","European Journal of Heart Failure",2014,16,"","60",2014,"http://dx.doi.org/10.1002/ejhf.93_4","10.1002/ejhf.93_4","original_exclude","original","sr3_original_71",""
"Journal Article","Englander H,Michaels L,Chan B,Kansagara D","The care transitions innovation (C-TraIn) for socioeconomically disadvantaged adults: results of a cluster randomized controlled trial","Journal of General Internal Medicine","Journal of General Internal Medicine",2014,29,"11","1460-1467",2014,"http://dx.doi.org/10.1007/s11606-014-2903-0","10.1007/s11606-014-2903-0","original_exclude","original","sr3_original_83",""
"Journal Article","Englander H,Michaels L,Chan B,Kansagara D","The care transitions innovation (C-train) for socioeconomically disadvantaged adults, results of a clustered randomized controlled trial","Journal of General Internal Medicine","Journal of General Internal Medicine",2014,29,"","S221",2014,"","","original_exclude","original","sr3_original_84",""
"Journal Article","Li CY,Lee CY,Chang Lee SN,Liao WC,Chen YJ","The effectiveness of case management for patients with heart filure","Macau Journal of Nursing","Macau Journal of Nursing",2013,12,"1","35-41",2013,"","","original_exclude","original","sr3_original_117",""
"Journal Article","Li CY,Lee CY,Chang Lee SN,Liao WC,Chen YJ","The effectiveness of case management for patients with heart failure","Macau Journal of Nursing","Macau Journal of Nursing",2013,12,"1","35-41",2013,"","","original_exclude","original","sr3_original_118",""
"Journal Article","Yu DS-F,Lee DT,Stewart S,Thompson DR,Choi KC,Yu CM","The effects of a nurse-led empowerment-based disease management program on clinical outcomes, self-care and health-related quality of life among Chinese patients with heart failure","European Journal of Heart Failure","European Journal of Heart Failure",2014,16,"","60",2014,"http://dx.doi.org/10.1002/ejhf.93_4","10.1002/ejhf.93_4","original_exclude","original","sr3_original_173",""
